Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3158251,Maintain Payment,payment,,,,epic,,,"Nov 19, 2016",,,,To maintain a member's payment,https://www.pivotaltracker.com/epic/show/3158251,,,,,,,,,,,,,,,,,,,
3158249,Maintain Purchase,purchase,,,,epic,,,"Nov 19, 2016",,,,To maintain a member's purchase,https://www.pivotaltracker.com/epic/show/3158249,,,,,,,,,,,,,,,,,,,
3158247,Maintain Bus,bus,,,,epic,,,"Nov 19, 2016",,,,To maintain a bus for the system,https://www.pivotaltracker.com/epic/show/3158247,,,,,,,,,,,,,,,,,,,
3158245,Login,login,,,,epic,,,"Nov 19, 2016",,,,To log into the system,https://www.pivotaltracker.com/epic/show/3158245,,,,,,,,,,,,,,,,,,,
3158237,Maintain Member,member,,,,epic,,,"Nov 19, 2016",,,,To maintain a member for the system,https://www.pivotaltracker.com/epic/show/3158237,,,,,,,,,,,,,,,,,,,
3158233,Maintain Staff,staff,,,,epic,,,"Nov 19, 2016",,,,To maintain a staff for the system,https://www.pivotaltracker.com/epic/show/3158233,,,,,,,,,,,,,,,,,,,
134644985,View Payment Details,payment,,,,feature,,unscheduled,"Nov 19, 2016",,,Benjamin Ng,To read the payment's information made by the members for the system,https://www.pivotaltracker.com/story/show/134644985,,Display the view payment details screen,not completed,Enter the payment id,not completed,Check database for the payment id and details of the payment,not completed,Display successfully found payment details message on screen,not completed,Display payment details on screen,not completed
134644967,Create Payment,payment,,,,feature,,unscheduled,"Nov 19, 2016",,,Benjamin Ng,To create a payment made by members for the system,https://www.pivotaltracker.com/story/show/134644967,,Display the make payment screen,not completed,Select the purchase id from screen,not completed,Display the purchase details on screen,not completed,Select payment method on screen,not completed,Make payment,not completed,Store new payment details into database,not completed,Display a payment made successfully message on screen,not completed,Generate Receipt,not completed
134644909,Create A New Purchase,purchase,,,,feature,3,unscheduled,"Nov 19, 2016",,,Benjamin Ng,To create a new purchase made by the members for the system,https://www.pivotaltracker.com/story/show/134644909,,Display the make purchase screen,not completed,Enter the purchase details,not completed,Validate the purchase details,not completed,Verify the purchase details in database,not completed,Store purchase details into database,not completed,Display a successfully stored message on screen,not completed
134644897,View A Purchase Details,purchase,,,,feature,3,unscheduled,"Nov 19, 2016",,,Benjamin Ng,To read the purchase's information for the system,https://www.pivotaltracker.com/story/show/134644897,,Display the view purchase details screen,not completed,Enter the purchase id,not completed,Check database for purchase id and details of the purchase,not completed,Display successfully found purchase message on screen,not completed,Display purchase message on the screen,not completed
